,train_task_0,train_task_1,test_task_0,test_task_1,phase
0,,0.51375,,0.55125,0
1,,0.525,,0.5095833333333334,0
2,,0.5333333333333333,,0.5054166666666666,0
3,,0.5451041666666666,,0.5083333333333333,0
4,,0.5496875,,0.575,0
5,,0.5564583333333334,,0.5983333333333334,0
6,,0.5598958333333334,,0.5720833333333334,0
7,,0.5690625,,0.5266666666666666,0
8,,0.5711458333333334,,0.54625,0
9,,0.5732291666666667,,0.55375,0
10,,0.5778125,,0.5545833333333333,0
11,,0.5769791666666667,,0.6125,0
12,,0.5815625,,0.5829166666666666,0
13,,0.5801041666666666,,0.5725,0
14,,0.5794791666666667,,0.5575,0
15,,0.5817708333333333,,0.58125,0
16,,0.5873958333333333,,0.6029166666666667,0
17,,0.5879166666666666,,0.60125,0
18,,0.5885416666666666,,0.5495833333333333,0
19,,0.5841666666666666,,0.5779166666666666,0
20,,0.5882291666666667,,0.5725,0
21,,0.590625,,0.5945833333333334,0
22,,0.594375,,0.55,0
23,,0.5898958333333333,,0.5720833333333334,0
24,,0.5947916666666667,,0.5854166666666667,0
25,,0.5925,,0.55875,0
26,,0.598125,,0.6170833333333333,0
27,,0.5988541666666667,,0.5820833333333333,0
28,,0.593125,,0.6104166666666667,0
29,,0.5942708333333333,,0.6241666666666666,0
30,0.5361458333333333,,0.5345833333333333,0.62125,1
31,0.5519791666666667,,0.56375,0.6233333333333333,1
32,0.5560416666666667,,0.5145833333333333,0.6179166666666667,1
33,0.5689583333333333,,0.5641666666666667,0.6225,1
34,0.5783333333333334,,0.5466666666666666,0.6266666666666667,1
35,0.5773958333333333,,0.575,0.62375,1
36,0.58875,,0.5733333333333334,0.6254166666666666,1
37,0.5903125,,0.5854166666666667,0.6225,1
38,0.5985416666666666,,0.5675,0.6225,1
39,0.5955208333333334,,0.6075,0.6216666666666667,1
40,0.6013541666666666,,0.5808333333333333,0.62,1
41,0.6055208333333333,,0.5908333333333333,0.6258333333333334,1
42,0.6138541666666667,,0.5904166666666667,0.6208333333333333,1
43,0.609375,,0.605,0.6229166666666667,1
44,0.6196875,,0.6108333333333333,0.6233333333333333,1
45,0.6207291666666667,,0.5925,0.6216666666666667,1
46,0.620625,,0.5604166666666667,0.61875,1
47,0.6276041666666666,,0.61375,0.6266666666666667,1
48,0.6265625,,0.6241666666666666,0.6195833333333334,1
49,0.63375,,0.63,0.6245833333333334,1
50,0.6294791666666667,,0.59875,0.62125,1
51,0.629375,,0.61125,0.6179166666666667,1
52,0.634375,,0.6229166666666667,0.6191666666666666,1
53,0.6388541666666666,,0.6125,0.6191666666666666,1
54,0.6388541666666666,,0.6245833333333334,0.6225,1
55,0.6408333333333334,,0.6341666666666667,0.6241666666666666,1
56,0.6369791666666667,,0.63375,0.62125,1
57,0.6398958333333333,,0.6304166666666666,0.6245833333333334,1
58,0.6453125,,0.6095833333333334,0.6241666666666666,1
59,0.6413541666666667,,0.63,0.6204166666666666,1
60,0.6470833333333333,,0.6366666666666667,0.5629166666666666,2
61,0.6515625,,0.6270833333333333,0.6133333333333333,2
62,0.6466666666666666,,0.6379166666666667,0.5425,2
63,0.6530208333333334,,0.6391666666666667,0.6025,2
64,0.6491666666666667,,0.63375,0.61375,2
65,0.6494791666666667,,0.6375,0.5841666666666666,2
66,0.6502083333333334,,0.6395833333333333,0.63,2
67,0.6497916666666667,,0.6379166666666667,0.60875,2
68,0.6466666666666666,,0.63875,0.6270833333333333,2
69,0.6561458333333333,,0.64125,0.5741666666666667,2
70,0.6509375,,0.6358333333333334,0.5975,2
71,0.6479166666666667,,0.64,0.56125,2
72,0.6504166666666666,,0.6358333333333334,0.5854166666666667,2
73,0.650625,,0.6375,0.6170833333333333,2
74,0.6515625,,0.6316666666666667,0.6191666666666666,2
75,0.6485416666666667,,0.6404166666666666,0.5620833333333334,2
76,0.6504166666666666,,0.63125,0.57,2
77,0.651875,,0.6358333333333334,0.58875,2
78,0.6516666666666666,,0.6404166666666666,0.61375,2
79,0.6504166666666666,,0.64125,0.6116666666666667,2
80,0.6509375,,0.6379166666666667,0.5941666666666666,2
81,0.649375,,0.6345833333333334,0.5591666666666667,2
82,0.6521875,,0.635,0.58,2
83,0.6525,,0.64,0.62375,2
84,0.6520833333333333,,0.6420833333333333,0.6208333333333333,2
85,0.6538541666666666,,0.6358333333333334,0.5779166666666666,2
86,0.6546875,,0.63875,0.6175,2
87,0.655625,,0.6395833333333333,0.61625,2
88,0.6544791666666666,,0.63875,0.5920833333333333,2
89,0.6560416666666666,,0.6254166666666666,0.59625,2
